,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,62900,1,2500,4.14,63100,63200,62300,20037163,1257129641861,375499322395000,5969782550,STK
1,373220,KR7373220003,LG에너지솔루션,KOSPI,,624000,1,19000,3.14,623000,629000,613000,447112,278189137000,146016000000000,234000000,STK
2,000660,KR7000660001,SK하이닉스,KOSPI,,93500,1,4400,4.94,95200,95300,92500,5002149,468889493882,68068221127500,728002365,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,900000,2,-7000,-0.77,917000,920000,898000,70747,64085170000,64056600000000,71174000,STK
4,051910,KR7051910008,LG화학,KOSPI,,737000,1,42000,6.04,730000,744000,724000,304326,223654762000,52026556791000,70592343,STK
5,006400,KR7006400006,삼성SDI,KOSPI,,747000,1,22000,3.03,741000,750000,733000,308615,229006491000,51367103910000,68764530,STK
6,005935,KR7005931001,삼성전자우,KOSPI,,57100,1,1600,2.88,58200,58300,56900,1619910,93131943200,46986830570000,822886700,STK
7,005380,KR7005380001,현대차,KOSPI,,172000,1,2500,1.47,174500,175500,171000,980474,169239286500,36750928164000,213668187,STK
8,035420,KR7035420009,NAVER,KOSPI,,193500,1,17500,9.94,189000,196500,186000,3312709,634376445200,31743497947500,164049085,STK
9,000270,KR7000270009,기아,KOSPI,,68000,1,1400,2.1,68300,68900,67500,1727900,117482568600,27564707596000,405363347,STK
10,068270,KR7068270008,셀트리온,KOSPI,,192000,1,5000,2.67,191500,194000,189500,475361,91026079000,27034600320000,140805210,STK
11,035720,KR7035720002,카카오,KOSPI,,58700,1,7900,15.55,54500,61000,53600,17375821,1002819056700,26141222495600,445335988,STK
12,005490,KR7005490008,POSCO홀딩스,KOSPI,,285500,1,4500,1.6,289000,289000,281500,539139,153612875500,24145086165000,84571230,STK
13,028260,KR7028260008,삼성물산,KOSPI,,123000,1,1500,1.23,124500,124500,122000,335974,41331694000,22987110963000,186887081,STK
14,012330,KR7012330007,현대모비스,KOSPI,,219500,2,-1000,-0.45,226000,226000,218500,298000,65787048000,20695578133000,94285094,STK
15,105560,KR7105560007,KB금융,KOSPI,,49400,1,300,0.61,49950,50100,49250,1274650,63178747600,20199515159200,408897068,STK
16,055550,KR7055550008,신한지주,KOSPI,,37200,2,-350,-0.93,38050,38200,37100,1577911,59182884000,19081149673200,512934131,STK
17,003670,KR7003670007,포스코케미칼,KOSPI,,222000,1,2500,1.14,225500,228000,218000,920297,204822439000,17196834840000,77463220,STK
18,096770,KR7096770003,SK이노베이션,KOSPI,,182500,1,1500,0.83,186500,187500,181000,559995,102310782500,16874965430000,92465564,STK
19,034730,KR7034730002,SK,KOSPI,,227000,1,7000,3.18,225500,229000,224000,158942,35907468000,16831897683000,74149329,STK
20,066570,KR7066570003,LG전자,KOSPI,,94500,1,2600,2.83,95400,95400,93700,891240,84216089600,15464718423000,163647814,STK
21,032830,KR7032830002,삼성생명,KOSPI,,67400,2,-200,-0.3,68000,68000,67000,281776,18981530600,13480000000000,200000000,STK
22,323410,KR7323410001,카카오뱅크,KOSPI,,27600,1,4650,20.26,25250,29400,25050,32689166,897645424100,13155096661200,476633937,STK
23,003550,KR7003550001,LG,KOSPI,,83400,1,1100,1.34,83500,84000,82900,185331,15474707600,13118902816200,157300993,STK
24,033780,KR7033780008,KT&G,KOSPI,,92600,2,-1800,-1.91,92700,94400,92500,618208,57613042300,12713285222200,137292497,STK
25,010130,KR7010130003,고려아연,KOSPI,,622000,1,12000,1.97,625000,631000,615000,77814,48363242500,12354884276000,19863158,STK
26,086790,KR7086790003,하나금융지주,KOSPI,,41400,1,850,2.1,41250,41500,41050,1106025,45747070350,12250403906400,295903476,STK
27,015760,KR7015760002,한국전력,KOSPI,,19000,1,850,4.68,18500,19050,18350,2753190,51631560250,12197317463000,641964077,STK
28,091990,KR7091990002,셀트리온헬스케어,KOSDAQ,우량기업부,71300,1,3400,5.01,69700,71400,69600,940030,66370444800,11282677558600,158242322,KSQ
29,259960,KR7259960003,크래프톤,KOSPI,,227000,1,35000,18.23,202000,227000,201500,738955,160205343500,11139354215000,49072045,STK
30,017670,KR7017670001,SK텔레콤,KOSPI,,50500,1,100,0.2,51200,51500,50400,1059219,53651872836,11051073772000,218833144,STK
31,247540,KR7247540008,에코프로비엠,KOSDAQ,우량기업부,110600,1,3700,3.46,111700,112900,109000,1752384,194506790500,10816828646400,97801344,KSQ
32,009150,KR7009150004,삼성전기,KOSPI,,141500,1,5000,3.66,142000,143000,140500,787135,111635618500,10569157984000,74693696,STK
33,034020,KR7034020008,두산에너빌리티,KOSPI,,16500,1,650,4.1,16600,16600,16100,7965255,130192913200,10532082544500,638308033,STK
34,329180,KR7329180004,현대중공업,KOSPI,,115500,1,5500,5.0,113500,116000,112500,380766,43681308500,10253294898000,88773116,STK
35,036570,KR7036570000,엔씨소프트,KOSPI,,465000,1,55000,13.41,441000,476500,431000,440586,202095189000,10208620230000,21954022,STK
36,011200,KR7011200003,HMM,KOSPI,,20850,1,600,2.96,21050,21400,20650,2336104,48889555750,10196473491600,489039496,STK
37,010950,KR7010950004,S-Oil,KOSPI,,89600,1,600,0.67,91100,91200,88500,564287,50382706100,10087418163200,112582792,STK
38,018260,KR7018260000,삼성에스디에스,KOSPI,,128500,1,1500,1.18,129000,130000,128000,106784,13740721500,9943047300000,77377800,STK
39,003490,KR7003490000,대한항공,KOSPI,,26500,1,1950,7.94,25400,26600,25400,3788481,98369970150,9757847516500,368220661,STK
40,009830,KR7009830001,한화솔루션,KOSPI,,50300,1,700,1.41,51600,52600,50100,2727841,139527278800,9621308399100,191278497,STK
41,051900,KR7051900009,LG생활건강,KOSPI,,613000,1,36000,6.24,603000,618000,595000,92989,56539364325,9573954761000,15618197,STK
42,030200,KR7030200000,KT,KOSPI,,36600,1,50,0.14,37050,37150,36300,1380838,50525676950,9556692172800,261111808,STK
43,000810,KR7000810002,삼성화재,KOSPI,,200500,2,-500,-0.25,202500,203000,198500,106115,21251676000,9498654818500,47374837,STK
44,316140,KR7316140003,우리금융지주,KOSPI,,11950,1,150,1.27,12050,12100,11800,2528678,30153324900,8700323560550,728060549,STK
45,066970,KR7066970005,엘앤에프,KOSDAQ,중견기업부,231600,1,9100,4.09,234700,238500,228900,1317482,308559387500,8321299065600,35929616,KSQ
46,024110,KR7024110009,기업은행,KOSPI,,10650,1,100,0.95,10700,10800,10550,1207113,12842698300,7926801251550,744300587,STK
47,377300,KR7377300009,카카오페이,KOSPI,,59700,4,13750,29.92,47900,59700,47900,7144703,400143131350,7922223133500,132700555,STK
48,011070,KR7011070000,LG이노텍,KOSPI,,319500,1,32000,11.13,303000,320000,299000,717419,222690849500,7561640686500,23667107,STK
